"title", "artist", "lyrics"
"A Little Party Never Killed Nobody (All We Got)","Fergie", "Just one night all we got Just one night all we got Just one night all we got Just one night all we got [Verse 1: Fergie] I ain't got time for you baby Either you're mine or you're not Make up your mind sweet baby Right here, right now's all we got [Chorus: Fergie & Q-Tip] A little party never killed nobody So we gon' dance until we drop A little party never killed nobody Right here, right now's all we got [Verse 2: Fergie] Islands, diamonds, trips around the world Don't mean a thing if I ain't your girl [Chorus: Fergie & Q-Tip] A little party never killed nobody So we gon' dance until we drop A little party never killed nobody Right here, right now's all we got A little party never killed nobody So we gon' dance until we drop A little party never killed nobody Right here, right now's all we got [Post-Chorus: Q-Tip] All we got, all we got, all we got, all we got All we got, all we got, all we got, all we come on All we got, got, got, got, got, got, got, got, got Got, got, got, got, got, got, got, got, got Goddamn [Verse 3: Q-Tip] Glad that you made it, look around You don't see one person sitting down They got drinks in their hands and the room's a bust At the end of the night maybe you'll find love Fake chit-chat 'bout the things they got And my stout reputation keepin' it hot At the party of the year and my master plan Is to make you realize I'm your man [Verse 4: Fergie] If the people get live underneath the moonlight Hotsy-totsy, paparazzi, hold it while I take this pic Speakeasy, rockin' the feathers, I'm breezy Hope you can keep up boys, cause believe me, I’m the bee's knees [Bridge: Fergie] It don't mean a thing if I give you my heart If you tear it apart, no, ah-ah-ah, ow It don't mean a thing if I ain't in your eyes Papa that ain't gonna fly, no, ah-ah-ah, ow It don't mean a thing if I give you my heart If you tear it apart, no, ah-ah-ah, ow It don't mean a thing if I ain't in your eyes Papa that ain't gonna fly, no, ah-ah-ah, ow [Breakdown: Q-Tip] Just one night all we got Just one night all we got Just one night all we got Just one night all we got [Interlude: Fergie] What do you think, GoonRock? Are you ready? [Chorus: Fergie & Q-Tip] A little party never killed nobody So we gon' dance until we drop A little party never killed nobody Right here, right now's all we got A little party never killed nobody So we gon' dance until we drop A little party never killed nobody",
"Move","Little Mix", "Mmm-hmm, mmm-hmm Mmm-hmm (Ah), mmm-hmm (Ah) Mmm-hmm (Ah), mmm-hmm (Ah) Mmm-hmm [Verse 1: Jade Thirlwall] Hey baby, tell me your name I got a fever for you I just can't explain But there's just one problem, I'm a bit old school When it comes to lovin', I ain't chasin' you Ain’t waitin', I'm on a roll You've got to let yourself go [Pre-Chorus: Perrie Edwards] Whoa (Talk to me) You know that I've been waiting for you (And I noticed you too) Don't leave me standing all by myself (I won't leave you standing all alone) Cause I ain't looking at no one else (Oh, baby!) [Chorus: Jesy Nelson & All] Hey, get your back off the wall, don't you get comfortable Looking so hot, I think that I might fall (Woo) Feeling like it's my birthday, like Christmas day came early Just what I want, so when we move, you move Hey, get your back off the wall, don't you get comfortable Looking so hot, I think that I might fall (Hey) Feeling like it's my birthday, like Christmas day came early Just what I want, so when we move, you move [Verse 2: Leigh-Anne Pinnock with Jesy Nelson and Jade Thirlwall & All] O-o-o-oh silly, why you afraid? Don't be a big baby, quit playing games Put your arms around me, you know what to do And we can take it down low [Pre-Chorus: Perrie Edwards + All & Jade Thirlwall] Whoa, you know that I've been waiting for you (For you) Don't leave me standing all by myself (Myself) Cause I ain't looking at no one else (No one else, looking at no one else, looking at no one else) (Yeah, yeah, oh) [Chorus: All, Jade Thirlwall, Jesy Nelson, Leigh-Anne Pinnock, (Perrie Edwards)] Hey (Oh), get your back off the wall (Oh), don't you get comfortable Looking so hot, I think that I might fall (I think that I might fall) Feeling like it's my birthday, like Christmas day came early (Like Christmas day came early) Just what I want, so when we move, you move (Oh) Hey, get your back off the wall, don't you get comfortable (Don't get comfortable) Looking so hot (Yeah), I think that I might fall (Yeah, yeah) Feeling like it's my birthday, like Christmas day came early (Yeah) Just what I want, so when we move, you move [Bridge: Leigh-Anne Pinnock + Jade Thirlwall & Perrie Edwards, Leigh-Anne Pinnock & Jade Thirlwall] I know that you wanna but you can't cause you gotta Stay cool in the corner when the truth is that you wanna move So move I know that you wanna but you can't cause you gotta Stay cool in the corner when the truth is that you wanna move So move [Pre-Chorus: Perrie Edwards] Move it baby, oh You know that I've been waiting for you Don't leave me standing all by myself Cause I ain't looking at no one else Looking at no one else, looking at no one else [Breakdown: All] Hey, hey, I'm ready, hey Boy come and get me Don't be scared, show me what you do Don't you know a girl like a boy who moves Hey, hey, I'm ready, hey Boy come and get me Don't be scared, show me what you do Don't you know a girl like a boy who moves [Chorus: All, Jesy Nelson, Perrie Edwards] Hey, get your back off the wall, don't you get comfortable (Get your back off of the wall) Looking so hot, I think that I might fall (I think that I might fall) Feeling like it's my birthday (Oh, yeah), like Christmas day came early (Hey, hey) Just what I want, so when we move, you move [Outro: All] Hey, hey, I'm ready, hey (Mmm-hmm) Boy come and get me Don't be scared, show me what you do Don't you know a girl like a boy who moves",
"Walks Like Rihanna","The Wanted", "Have you seen that girl? Have you seen her? She’s the freakiest thing, you gotta meet her You do whatever it takes to get her by your side [Pre-Chorus: Max George] It’s not the way she smiles with a little laugh It’s not the way she looks in a photograph But all the boys – they crowd around [Chorus: All] She can’t sing, she can’t dance But who cares? She walks like Rihanna She can’t sing, she can’t dance But who cares? She walks like Rihanna [Verse 2: Jay McGuiness] Have you seen that girl? Have you seen her? With the way she moves, you wanna kiss her She’ll be the girl of your dreams if you can close your eyes [Pre-Chorus: Max George] You can feel that beat when she’s in the room You can feel your heart going boom-boom And all the boys – they crowd around [Chorus: All] She can’t sing, she can’t dance But who cares? She walks like Rihanna She can’t sing, she can’t dance But who cares? She walks like Rihanna [Post-Chorus: All] She walks like Rihanna She walks like Rihanna [Bridge: All] Our hearts go boom-boom, boom-boom-boom Our hearts go boom-boom, boom-boom-boom Our hearts go boom-boom, boom-boom-boom Our hearts go boom-boom, boom-boom-boom (When she walks like Rihanna) Our hearts go boom-boom, boom-boom-boom (She walks like Rihanna) Our hearts go boom-boom, boom-boom-boom (When she walks like Rihanna) [Refrain: Nathan Sykes, Max George] She can’t sing, she can’t dance But who cares? She walks like Rihanna [Chorus: All] She can’t sing, she can’t dance But who cares? She walks like Rihanna She can’t sing, she can’t dance But who cares? She walks like Rihanna [Post-Chorus: All] She walks like Rihanna She walks like Rihanna [Outro: All] Our hearts go boom-boom, boom-boom-boom Our hearts go boom-boom, boom-boom-boom She walks like Rihanna Our hearts go boom-boom, boom-boom-boom Our hearts go boom-boom, boom-boom-boom She walks like Rihanna",
"Rock N Roll","Avril Lavigne", "Let 'em know that we're still rock 'n' roll [Verse 1] I don't care about my makeup I like it better with my jeans all ripped up Don't know how to keep my mouth shut You say 'So what?' (What?) I don't care if I'm a misfit I like it better than the hipster bullshit I am the motherfuckin' princess You still love it (Yeah) [Pre-Chorus] Some-somehow, it's a little different when I'm with you You know what I really am all about You know how it really goes (Oh, oh, oh, oh, yeah) Some-some way, we'll be getting out of this town one day You're the only one that I want with me You know how the story goes (Oh, oh, oh) [Chorus] When it's you and me We don't need no one to tell us who to be We'll keep turning up the radio What if you and I Just put up a middle finger to the sky? Let 'em know that we're still rock 'n' roll [Post-Chorus] Rock 'n' roll Hey, hey, hey Rock 'n' roll Hey, hey, hey [Verse 2] Call it a bad attitude, dude I ain't never gonna cover up that tattoo I might have a couple issues You say, 'Me too' (Yeah) Don't care about a reputation (Nuh-uh) Must be living in the wrong generation This is your invitation Let's get wasted (Yeah) [Pre-Chorus] Some-somehow, it's a little different when I'm with you You know what I really am all about You know how the story goes (Oh, oh, oh) [Chorus] When it's you and me We don't need no one to tell us who to be We'll keep turning up the radio What if you and I Just put up a middle finger to the sky? Let 'em know that we're still rock 'n' roll [Post-Chorus] Rock 'n' roll Hey, hey, hey Rock 'n' roll Hey, hey, hey Rock 'n' roll [Bridge] Yeah Oh, oh, oh, oh, yeah Oh, oh, yeah [Chorus] When it's you and me We don't need no one to tell us who to be We'll keep turning up the radio What if you and I Just put up a middle finger to the sky? Let 'em know that we're still rock 'n' roll [Chorus] When it's you and me We don't need no one to tell us who to be We'll keep turning up the radio What if you and I Just put up a middle finger to the sky? Let 'em know that we're still rock 'n' roll [Post-Chorus] Rock 'n' roll Hey, hey, hey Rock 'n' roll Hey, hey, hey",
"Heartbreaker","Justin Bieber", "Girl you don't know how I feel, how I really feel Since you been away, oh baby Any chance that you could take my call? Take my call If I dialed you today, oh [Pre-Chorus] Girl you say that you don't wanna talk, but it's cool I've been thinking about you all day long, hoping you pick up your phone Girl I know that I don't wanna lose your love Oh baby, oh baby [Chorus] Oh girl I got a secret place that we can go 'Cause I really wanna be alone And baby nobody else gotta know Just meet me later on the low Don't tell me you're my heartbreaker Cause girl my heart's breaking, heartbreaker Don't tell me you're my heartbreaker Cause girl my heart's breaking, heartbreaker [Verse 2] Girl you see me standing here, standing here Standing in the rain, oh baby Any chance you could stay right here, yeah yeah And never go away? [Pre-Chorus] Girl you say that you don't wanna talk, but it's cool I've been thinking about you all day long, hoping you pick up your phone Girl I know that I don't wanna lose your love Oh baby, oh baby, oh baby [Chorus] Oh girl I got a secret place that we can go 'Cause I really wanna be alone And baby nobody else gotta know Just meet me later on the low Don't tell me you're my heartbreaker Cause girl my heart's breaking, heartbreaker Don't tell me you're my heartbreaker Cause girl my heart's breaking, heartbreaker [Bridge] So what I'm really tryna say is And what I hope you understand Is despite of all the imperfections of who I am I still wanna be your man I know it hasn't been easy for us to talk With everyone being around but It's just personal, this just, for me and you And I want you to know that I still love you And though the seasons may change Sometimes love goes from sunshine to rain I'm under this umbrella and I'm calling your name And you know I don't wanna lose that, 'cause I still believe [Verse 3] I still believe in love, I still believe in us I hope you believe in us, the way I believe in us, you don't see 'Cause what you don't see is when we don't speak I really don't sleep, I wanna talk to you And if I'd have the world in my hands I'd give it all to ya I wanna know if you feeling, the way that I'm feeling I wanna know if you feeling, the way that I'm, the way that I'm And you taught me to be careful with your heart, your heart You taught me to be careful with your heart, your heart, with your heart",
"Mirrors - Radio Edit","Justin Timberlake", "Aren't you somethin' to admire? 'Cause your shine is somethin' like a mirror And I can't help but notice You reflect in this heart of mine If you ever feel alone and The glare makes me hard to find Just know that I'm always Parallel on the other side [Pre-Chorus] 'Cause with your hand in my hand and a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the past I'm here tryna pull you through You just gotta be strong [Chorus] I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along It's like you're my mirror (Oh) My mirror staring back at me (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror staring back at me, staring back at me [Verse 2] Aren't you somethin', an original? 'Cause it doesn't seem merely assembled And I can't help but stare, 'cause I see truth somewhere in your eyes I can't ever change without you You reflect me, I love that about you And if I could, I Would look at us all the time [Pre-Chorus] 'Cause with your hand in my hand and a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the past I'm here tryna pull you through You just gotta be strong [Chorus] I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along It's like you're my mirror (Oh) My mirror staring back at me (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror staring back at me, staring back at me [Bridge] Yesterday is history, oh Tomorrow's a mystery, oh I can see you lookin' back at me Keep your eyes on me Baby, keep your eyes on me [Chorus] 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now (You show me, baby) And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along It's like you're my mirror (Oh) My mirror staring back at me (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror staring back at me, staring back at me [Post-Chorus] Ohh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh ohh (Oh oh, oh oh) Uhh (Oh oh, oh oh) Ohh (Oh oh, oh oh)",
"Next To Me","Emeli Sandé", "You won’t find him drinking under tables Rolling dice or staying out ’til three You won’t ever find him be unfaithful You will find him, you’ll find him next to me You won’t find him tryna change the devil For money, fame, for power out of greed You won't ever find him where the rest go You will find him, you’ll find him next to me [Chorus] Next to me – wooh hooo Next to me – wooh hooo Next to me – wooh hooo You will find him, you’ll find him next to me [Verse 2] When the money’s spent and all my friends have vanished And I can’t seem to find no help or love for free I know that there’s no need for me to panic 'Cause I’ll find him, I’ll find him next to me When the skies are grey and all the doors are closing And the rising pressure makes it hard to breathe When all I need’s a hand to stop the tears from falling I will find him, I’ll find him next to me [Chorus] Next to me – wooh hooo Next to me – wooh hooo Next to me – wooh hooo I will find him, I’ll find him next to me [Verse 3] When the end has come and buildings falling down fast When we’ve spoilt the land and dried up all the sea When everyone has lost their heads around us You will find him, you’ll find him next to me [Chorus] Next to me – wooh hooo Next to me – wooh hooo Next to me – wooh hooo You will find him, you’ll find him next to me Next to me – wooh hooo Next to me – wooh hooo Next to me – wooh hooo You will find him, you’ll find him next to me",
"Made In The USA","Demi Lovato", "Our love runs deep like a Chevy If you fall, I'll fall with you, baby 'Cause that's the way we like to do it That's the way we like You run around, open doors like a gentleman Tell me, girl, every day of my everything 'Cause that's the way you like to do it That's the way you like [Pre-Chorus 1] Just a little West Coast and a bit of sunshine Hair blowing in the wind, losing track of time Just you and I Just you and I Whoa, whoa [Chorus] No matter how far we go I want the whole world to know I want you bad And I won't have it any other way No matter what the people say I know that we'll never break 'Cause our love was made, made in the USA Made in the USA, yeah [Verse 2] You always reading my mind like a letter When I'm cold, you're there like a sweater 'Cause that's the way we like to do it That's the way we like I never ever let the world get the best of you Every night we're apart, I'm still next to you 'Cause that's the way I like to do it That's the way I like [Pre-Chorus 2] We touch down on the East Coast Dinner on the sky rise Winter is the best time for walking in the city lights You and I You and I Whoa, whoa [Chorus] No matter how far we go I want the whole world to know I want you bad And I won't have it any other way No matter what the people say I know that we'll never break 'Cause our love was made, made in the USA [Bridge] 'Cause, baby, I'll bite the bullet And take the blows for love, whoa Our love was made in the USA Made in the USA Made in the USA [Chorus] No matter how far we go I want the whole world to know I want you bad And I won't have it any other way No matter what the people say I know that we'll never break 'Cause our love was made, made in the USA Made in the USA, yeah [Outro] Made in the US Made in the US Made in the USA",
"Clown","Emeli Sandé", "I guess it's funnier from where you're standing 'Cause from over here I missed the joke Clear the way for my crash landing I've done it again, another number for your notes [Verse 2] I'd be smiling if I wasn't so desperate I'd be patient if I had the time I could stop and answer all of your questions As soon as I find out how I can move from the back of the line [Chorus] I'll be your clown, behind the glass Go 'head and laugh, 'cause it's funny I would too, if I saw me I'll be your clown, on your favourite channel My life's a circus-circus, 'round in circles Selling out tonight [Verse 3] I'd be less angry if it was my decision And the money was just rolling in If I had more than my ambition I'll have time for please, I'll have time for thank you as soon as I win [Chorus] I'll be your clown, behind the glass Go 'head and laugh, 'cause it's funny I would too, if I saw me I'll be your clown, on your favourite channel My life's a circus-circus, 'round in circles Selling out tonight [Bridge] From a distance, my choice is simple From a distance, I can entertain So you can see me, I put makeup on my face But there's no way you can feel it, from so far away [Chorus] I'll be your clown, behind the glass Go 'head and laugh, 'cause it's funny I would too, if I saw me I'll be your clown, on your favourite channel My life's a circus-circus, 'round in circles I'm selling out tonight",
"Girl On Fire (feat. Nicki Minaj) - Inferno Version","Alicia Keys", "Spirit of Marilyn callin' me, audibly Bawling, she said that she would never leave, continued to torture me Telling me to come with her, underneath my comforter And she brought a gun with her, pills and some rum with her Took me on the balcony, telling me to jump with her Yeah I'm in the ghost, but I ain't doing stunts with her I ain't trying to be that, haters wanna see that But I got 'em aggy, 'cause I win the gold like Gabby [Verse 2: Alicia Keys] She's just a girl, and she's on fire Hotter than a fantasy, lonely like a highway She's living in a world, and it's on fire Feeling the catastrophe, but she knows she can fly away [Pre-Chorus: Alicia Keys] Oh, she got both feet on the ground And she's burning it down Oh, she got her head in the clouds And she's not backing down [Chorus: Alicia Keys] This girl is on fire This girl is on fire She's walking on fire This girl is on fire [Verse 3: Alicia Keys] Looks like a girl, but she's a flame So bright, she can burn your eyes Better look the other way You can try, but you'll never forget her name She's on top of the world Hottest of the hottest girls say [Pre-Chorus: Alicia Keys] Oh, we got our feet on the ground And we're burning it down Oh, got our head in the clouds And we're not coming down [Chorus: Alicia Keys] This girl is on fire (fire, fire) This girl is on fire She's walking on fire (fire, fire) This girl is on fire [Bridge: Alicia Keys] Everybody stands, as she goes by 'Cause they can see the flame that's in her eyes Watch her when she's lighting up the night Nobody knows that she's a lonely girl And it's a lonely world But she gon' let it burn, baby, burn, baby [Verse 4: Nicki Minaj] Dear God, If you're here God Make the fire disappear when they stare God Take away my fear when they interfere God Do you fear God? 'Cause I fear God And in my backyard, that's a deer, God And that's a horse ranch, and to my core fans Keep reppin' me, do it 'til the death of me 'X' in the box, 'cause ain't nobody checkin' me [Chorus: Alicia Keys] This girl is on fire (Fire, fire) This girl is on fire She's walking on fire (Fire, fire) This girl is on fire [Outro: Alicia Keys] Oh, oh, oh... She's just a girl, but she's on fire",
"TKO","Justin Timberlake", "In all, enthrilling new, living sound [Intro: Timbaland] Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Kill me with the coo-coochie-coochie-coo She kill me with the coo-coochie-coochie-coo Lights out, TKO [Verse 1: Justin Timberlake] Baby, every day in training to get the gold That’s why your body's crazy But you can’t run from yourself, that’s where it’s difficult Girl, I can see in your eyes that there’s something inside that made you evil Where did you go? 'Cause it just ain't fair Over here thinking 'bout the shit you say Don't know why it gets to me [Pre-Chorus: Justin Timberlake] It cuts right on my heart, yeah, it hurt, won't lie Still can't see, think I saw you with another guy Fair fight, knocked down, then I got over you Can't fight no more, you knock me out What am I supposed to do? [Chorus: Justin Timberlake] I don't understand it Tell me how could you be so low? Been swinging after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit, babe This ain't the girl I used to know No, not anymore, TKO [Bridge: Justin Timberlake] I’m out for the count Yeah, girl, you knock me out It's just a TKO I'm out for the count Yeah, girl, you knock me out With a TKO T-TKO Out for the count Yeah, girl, you knock me out With a TKO Now, I'm out for the count Yeah, girl, you knock me out With a TKO [Verse 2: Justin Timberlake] Baby, now I really know what we're fighting for This rematch sex is amazing But nobody wins when if somebody’s heart is swole 'Cause when I see you move like you got something inside that made you lethal Where did you go? It just ain't fair Over here thinking 'bout the shit you do Don't know what I got to lose [Pre-Chorus: Justin Timberlake] It cuts right on my heart, yeah, it hurt, won't lie Still can't see, think I saw you with another guy Fair fight, knocked down, then I got over you Can't fight no more, you knock me out What am I supposed to do? [Chorus: Justin Timberlake] I don't understand it Tell me how could you be so low? Been swinging after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit, babe This ain't the girl I used to know No, not anymore, TKO [Bridge: Justin Timberlake] I’m out for the count Yeah, girl, you knock me out It's just a TKO I'm out for the count Yeah, girl, you knock me out With a TKO T-TKO Out for the count Yeah, girl, you knock me out With a TKO Now, I'm out for the count Yeah, girl, you knock me out With a TKO [Breakdown: Timbaland] Girl See what you doing See what you doing, girl? You knock me right out See what you do See what you do Girl, girl, girl... You knock me right out Hey girl See what you do See what you do Girl, girl, girl... You knock me right out Hey girl See what you do See what you do Girl, girl, girl... You knock me right out [Pre-Chorus: Justin Timberlake] It cuts right on my heart, yeah, it hurt, won't lie Still can't see, think I saw you with another guy Fair fight, knocked down, then I got over you Can't fight no more, you knock me out What am I supposed to do? [Chorus: Justin Timberlake] I don't understand it Tell me how could you be so low? Been swinging after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit, babe This ain't the girl I used to know No, not anymore, TKO [*Beat Change*] [Interlude: Timbaland & Justin Timberlake] You knock me out TKO, TKO, TKO Wake up, wake up, wake up, wake up [Chorus: Justin Timberlake, Timbaland, Justin Timberlake & Timbaland] TKO, I don't understand it, tell me how could you be so low damn (TKO) You've been swingin' after the bell and after all of the whistle blows Tried to go below the belt, through my chest, perfect hit to the dome Dammit babe (Dammit babe, dammit babe, dammit babe, dammit babe Dammit babe, dam-dam-dam-dam-dam-dam-dam-dam-dam-dammit bade) [Interlude: Timbaland, Justin Timberlake, Timbaland & Justin Timaberlake] She kill me with the coo-coochie-coochie-coo She kill me with the coo, so dammit babe Dammit babe, Dammit babe, Dammit babe, Dammit babe Dammit babe, dam-dam-dam-dam-dam-dam-dam-dam-dam-dammit bade She kill me with the coo-coochie-coochie-coo She kill me with the coo, so dammit babe Dammit babe, Dammit babe, Dammit babe, Dammit babe Dammit babe, dam-dam-dam-dam-dam-dam-dam-dam-dam-dammit bade [Outro: Justin Timberlake & Timbaland] So! I’m out for the count Yeah, girl, you knock me out (What!) It's just a TKO So! I'm out for the count Yeah, girl, you knock me out It's just a With a TKO With a TKO, with a TKO, TKO! (What! What! What!)",
"Come & Get It","Selena Gomez", "When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na When you're ready, when you're ready When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na [Verse 1] You ain't gotta worry, it's an open invitation I'll be sitting right here real patient All day, all night, I'll be waiting standby Can't stop, because I love it Hate the way I love you All day, all night Maybe I'm addicted for life, no lie [Pre-Chorus 1] I'm not too shy to show I love you I got no regrets I love you much too much to hide you This love ain't finished yet This love ain't finished yet So baby, whenever you're ready [Chorus] When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na When you're ready, when you're ready When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na [Verse 2] You got the kind of love that I want, let me get that (Let me get that, yeah) And baby, once I get it, I'm yours, no take-backs Gon' love you for life, I ain't leaving your side Even if you knock it, ain't no way to stop it Forever, you're mine Baby, I'm addicted, no lie, no lie [Pre-Chorus 2] I'm not too shy to show I love you I got no regrets So baby, whenever you're ready... [Chorus] When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na When you're ready, when you're ready When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na [Bridge] This love will be the death of me But I know I'll die happily I'll know, I'll know, I'll know Because you love me so Yeah [Chorus] When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na When you're ready come and get it Na-na-na-na, na-na-na-na, na-na-na-na (I'm gonna get it, yeah yeah) When you're ready, when you're ready When you're ready come and get it (When you're ready, when you're ready Come and get it, get it) Na-na-na-na, na-na-na-na, na-na-na-na",
"Live It Up","Jennifer Lopez", "From the streets of Miami, to presenting at the GRAMMYs Con el amulet de Jennifer, maybe now you understand me Mr. Worldwide, RedOne, and the beautiful Jennifer Lopez Dale We don't believe in defeat That's why we're back for a three-peat [Verse 1: Pitbull & Jennifer Lopez] Hi Jenny, mira que esta loco Yo me lo como como pastelito coco I get stupid on a beat, sí bobo I got Mamí, Mamís by the boatload Yo tengo la carne, y ella el mojo I'm saying dale, she's screaming YOLO She's little Red Riding Hood And guess who's the lobo? Me la como Who's name is globally known? Who's name's on a check, and they adding an O? Who's name is on the blimp with the world is yours? Who's name is on schools, huh? Slam for sure I know it's hard to understand how a boy grew to a man Man turned to a brand, but guess what? Here I am Jenny From the Block, let's rock with a plan You push me harder, I'll do the same Boy, I want to feel you in every way Don't even wonder, it's just a game We rocking body-to-body, let's go insane [Pre-Chorus: Jennifer Lopez] I hit the spotlight all night, ready to go Give you a hot night, so tight, ready to blow I'm in the spotlight all night, ready to go Give you a hot night, so tight, ready to blow [Chorus: Jennifer Lopez] Oh, we can do anything we want Live it up - So live it up, live it up, go Oh, and we ain't stopping till we done Live it up - So live it up, live it up Go, go, go, go, go, go, go, go [Intelude: Günther] Make love, don't fight, let's fuck tonight Let's fuck tonight [Verse 2: Jennifer Lopez] Turn up this mother and let it play I know you like my bumper, don't be ashamed Don't even wonder, it's just a game We're rocking body-to-body, let's go insane [Pre-Chorus: Jennifer Lopez] I hit the spotlight all night, ready to go Give you a hot night, so tight, ready to blow I'm in the spotlight all night, ready to go Give you a hot night, so tight, ready to blow [Chorus: Jennifer Lopez] Oh, we can do anything we want Live it up - So live it up, live it up, go Oh, and we ain't stopping till we done Live it up - So live it up, live it up Go, go, go, go, go, go, go, go [Interlude: Günther] Make love, don't fight, let's fuck tonight Let's fuck tonight [Bridge: Pitbull] You name it, she's done it She's the reason that women run it Bet this on a Grammy Maybe now you understand me [Breakdown] (Clap your hands, go clap your hands, go clap your hands to the beat) (Clap your hands, go clap your hands, go clap your hands to the beat) (Clap your hands, go clap your hands, go clap your hands to the beat) [Chorus: Jennifer Lopez] Oh, we can do anything we want Live it up - So live it up, live it up, go Oh, and we ain't stopping till we done Live it up - So live it up, live it up Go, go, go, go, go, go, go [Outro: Günther] Let's fuck tonight Let's fuck tonight",
"We Own The Night","The Wanted", "May our hearts be full like our drinks tonight May we sing and dance till we lose our minds We are only young if we seize the night Tonight we own the night Tonight we own the night [Post-Chorus] La la la la la La la la la la [Verse 1] When my time is over, lying in my grave Written on my tombstone, I want it to say This man was a legend, a legend of his time When he was at a party, the party never died [Pre-Chorus] Hey, everybody's got a dream so what do you say Are we making history? [Chorus] May our hearts be full like our drinks tonight May we sing and dance till we lose our minds We are only young if we seize the night Tonight we own the night Tonight we own the night [Post-Chorus] La la la la la La la la la la [Verse 2] For tonight I'm famous, for tonight I'm king And I will be remembered for centuries. They'll say This man was a hero, a hero of the night When he was at a party, the party never died [Pre-Chorus] Hey, I'm a little drunk, but I got something to say Hold your jars! [Chorus] May our hearts be full like our drinks tonight May we sing and dance till we lose our minds We are only young if we seize the night Tonight we own the night [Post-Chorus] And let us wake up inside of stranger's bed Let us drink until there is nothing left And this night, my friends, we will not forget Tonight we own the night Tonight we own the night [Outro] May our hearts be full like our drinks tonight May we sing and dance till we lose our minds We are only young if we seize the night Tonight we own the night Tonight we own the night",
"Atlas","Coldplay", "Some saw the sun Some saw the smoke Some heard the gun Some bent the bow Sometimes the wire must tense for the note Caught in the fire, say 'oh' We're about to explode [Chorus] Carry your world I'll carry your world Carry your world I'll carry your world [Verse 2] Some far away Some search for gold Some dragon to slay Heaven we hope is just up the road Show me the way, Lord 'Cause I, I'm about to explode [Chorus] Carry your world I'll carry your world Carry your world I'll carry your world [Outro] Carry your world, and all your hurt (Carry your world)",
